timestamp,ax,ay,az,gx,gy,gz
27003.06,9.24162,-0.189142,-0.0167594,-6.22559,11.5967,5.49316
27003.065,9.31584,-0.189142,-0.0526724,-6.34766,11.1084,5.61523
27003.07,9.37569,-0.23942,-0.0622492,-6.65283,10.6201,5.79834
27003.075,9.44273,-0.270545,-0.0670376,-6.7749,9.94873,5.92041
27003.08,9.50498,-0.304064,-0.134075,-7.26318,8.78906,6.04248
27003.085,9.59117,-0.368707,-0.186748,-7.62939,7.69043,6.34766
27003.09,9.72525,-0.409408,-0.258574,-7.56836,6.5918,6.53076
27003.095,9.90242,-0.486023,-0.337582,-7.44629,5.67627,6.83594
27003.1,10.094,-0.588974,-0.418985,-7.26318,4.63867,6.95801
27003.105,10.319,-0.670376,-0.572214,-6.83594,3.35693,7.08008
27003.11,10.556,-0.78051,-0.737414,-6.40869,1.70898,7.38525
27003.115,10.7907,-0.85473,-1.01275,-5.67627,0.732422,7.44629
27003.12,10.9104,-0.998382,-1.14443,-4.76074,0.671387,7.75146
27003.125,11.054,-1.10612,-1.37188,-3.479,0.610352,7.62939
27003.13,11.157,-1.21865,-1.59214,-2.01416,0.671387,7.62939
27003.135,11.1977,-1.30963,-1.80044,-0.183105,0.793457,7.44629
27003.14,11.2073,-1.34315,-1.96325,1.95312,0.793457,7.26318
27003.145,11.1594,-1.33118,-2.11408,3.84521,1.15967,7.32422
27003.15,11.0061,-1.33596,-2.13084,5.7373,1.77002,6.83594
27003.155,10.8218,-1.30005,-2.04944,7.50732,2.2583,6.34766
27003.16,10.6111,-1.26174,-1.91776,8.78906,2.44141,6.22559
27003.165,10.4028,-1.18034,-1.72383,9.82666,2.56348,5.79834
27003.17,10.1394,-1.08457,-1.48201,10.7422,2.62451,5.7373
27003.175,9.9096,-0.924162,-1.25696,11.4136,2.74658,5.79834
27003.18,9.69412,-0.720655,-0.969652,12.0239,2.74658,5.67627
27003.185,9.46667,-0.483629,-0.730232,12.146,2.74658,5.61523
27003.19,9.26795,-0.306458,-0.45011,12.3291,2.62451,5.61523
27003.195,9.12909,-0.124498,-0.189142,12.207,2.38037,5.49316
27003.2,9.00459,0.023942,0.0526724,11.7188,2.01416,5.79834
27003.205,8.92798,0.138864,0.268151,10.8643,1.15967,5.92041
27003.21,8.89685,0.191536,0.435745,10.1318,0.244141,6.28662
27003.215,8.9208,0.217872,0.555455,9.21631,-0.610352,6.46973
27003.22,8.97347,0.208296,0.636858,8.60596,-1.34277,6.7749
27003.225,9.04769,0.198719,0.679953,7.99561,-1.89209,7.20215
27003.23,9.14106,0.148441,0.677559,7.75146,-2.2583,7.50732
27003.235,9.22725,0.0837971,0.646434,7.62939,-2.2583,7.56836
27003.24,9.34457,0.0335188,0.579397,7.50732,-1.89209,7.87354
27003.245,9.42837,-0.0430956,0.536301,7.56836,-1.52588,8.30078
27003.25,9.55047,-0.102951,0.438139,7.75146,-1.40381,8.23975
27003.255,9.59596,-0.198719,0.347159,7.93457,-1.09863,8.36182
27003.26,9.70131,-0.325611,0.208296,8.17871,-0.915527,8.30078
27003.265,9.7875,-0.435745,0.0143652,8.42285,-0.793457,8.17871
27003.27,9.84975,-0.514753,-0.126893,8.8501,-0.671387,7.93457
27003.275,9.92636,-0.608127,-0.265756,9.27734,-0.610352,7.56836
27003.28,9.98143,-0.694318,-0.409408,9.70459,-0.549316,7.20215
27003.285,10.0604,-0.725443,-0.466869,10.498,-0.305176,7.01904
27003.29,10.1035,-0.770933,-0.622492,10.9863,-0.0610352,6.5918
27003.295,10.1538,-0.811634,-0.727837,11.5967,0.0,6.34766
27003.3,10.1945,-0.830788,-0.799663,12.0239,0.0,5.98145
27003.305,10.2185,-0.828394,-0.826,12.2681,-0.12207,5.67627
27003.31,10.2328,-0.833182,-0.85473,12.5122,-0.427246,5.31006
27003.315,10.2376,-0.80924,-0.897826,12.5732,-0.549316,5.12695
27003.32,10.24,-0.785298,-0.885855,12.5122,-0.854492,4.69971
27003.325,10.2831,-0.751779,-0.924162,12.4512,-1.15967,4.69971
27003.33,10.2376,-0.713472,-0.931344,12.207,-1.52588,4.57764
27003.335,10.1825,-0.684742,-0.897826,11.9019,-1.77002,4.39453
27003.34,10.1059,-0.636858,-0.852336,11.5356,-1.28174,4.45557
27003.345,10.0533,-0.612916,-0.758962,11.2915,-1.09863,4.45557
27003.35,10.0006,-0.567426,-0.711078,10.6201,-1.09863,4.69971
27003.355,9.95509,-0.593762,-0.641646,10.1318,-0.854492,4.76074
