timestamp,ax,ay,az,gx,gy,gz
23694.9,-8.94474,-2.70066,1.29766,-4.5166,-3.2959,5.43213
23694.905,-8.97586,-2.6839,1.30245,-3.17383,-3.84521,3.17383
23694.91,-9.03332,-2.66714,1.27132,-1.83105,-4.5166,0.793457
23694.915,-9.04769,-2.6839,1.2785,-0.366211,-5.00488,-1.34277
23694.92,-9.06684,-2.65756,1.28808,1.15967,-5.37109,-3.11279
23694.925,-9.09797,-2.66475,1.27132,2.74658,-5.7373,-4.88281
23694.93,-9.10275,-2.63602,1.29526,4.39453,-5.98145,-6.34766
23694.935,-9.09078,-2.59531,1.30963,5.98145,-6.10352,-7.32422
23694.94,-9.0836,-2.55701,1.24259,7.38525,-5.85938,-8.23975
23694.945,-9.09318,-2.50673,1.20189,8.54492,-5.61523,-9.0332
23694.95,-9.10994,-2.46124,1.20668,9.64355,-4.94385,-9.52148
23694.955,-9.0836,-2.41814,1.14682,10.1929,-4.45557,-9.94873
23694.96,-9.06684,-2.36308,1.13006,10.8643,-3.90625,-10.0708
23694.965,-9.06924,-2.28646,1.16119,11.2305,-3.17383,-10.0098
23694.97,-9.05726,-2.20985,1.22104,11.1694,-2.50244,-9.82666
23694.975,-9.03093,-2.16675,1.24259,10.9863,-1.58691,-9.70459
23694.98,-8.99262,-2.13323,1.18752,10.498,-0.732422,-9.39941
23694.985,-8.97347,-2.12605,1.16837,10.0098,0.488281,-8.91113
23694.99,-8.93277,-2.14042,1.17795,9.46045,1.52588,-8.30078
23694.995,-8.89685,-2.16436,1.18992,8.97217,2.62451,-7.38525
23695.0,-8.88009,-2.17394,1.18274,8.66699,3.78418,-6.40869
23695.005,-8.88249,-2.20745,1.18274,8.36182,5.12695,-5.31006
23695.01,-8.86573,-2.23618,1.25456,8.42285,6.46973,-4.02832
23695.015,-8.91601,-2.28886,1.32878,8.8501,7.8125,-2.62451
23695.02,-8.92798,-2.34871,1.36709,9.46045,9.15527,-1.15967
23695.025,-8.93995,-2.41336,1.43892,10.6201,10.437,0.12207
23695.03,-8.98065,-2.48518,1.49398,12.4512,11.7188,1.40381
23695.035,-9.01178,-2.53067,1.53708,14.6484,13.1226,2.56348
23695.04,-9.04529,-2.55701,1.60172,17.2729,14.4653,3.54004
23695.045,-9.09078,-2.60729,1.62566,20.2637,15.686,4.5166
23695.05,-9.14585,-2.6025,1.66636,23.2544,16.7847,5.00488
23695.055,-9.19852,-2.59292,1.6927,26.4893,17.4561,5.06592
23695.06,-9.22725,-2.56658,1.72383,29.7852,17.8833,5.12695
23695.065,-9.27753,-2.54982,1.7741,32.7148,18.1885,4.76074
23695.07,-9.32302,-2.53307,1.7765,35.5225,18.1885,4.21143
23695.075,-9.37091,-2.55222,1.80283,38.208,17.9443,3.72314
23695.08,-9.3733,-2.54264,1.78847,40.8325,17.4561,2.80762
23695.085,-9.40203,-2.52109,1.80523,43.2739,16.7236,1.89209
23695.09,-9.43794,-2.48758,1.79805,45.3491,15.8691,0.915527
23695.095,-9.4571,-2.42772,1.83156,47.2412,14.8926,-0.305176
23695.1,-9.46188,-2.39181,1.82917,48.9502,13.7939,-1.83105
23695.105,-9.47625,-2.31998,1.86508,50.2319,12.5122,-3.17383
23695.11,-9.46428,-2.29365,1.84354,51.2695,11.1084,-4.88281
23695.115,-9.47146,-2.26491,1.8148,52.124,9.70459,-6.83594
23695.12,-9.47625,-2.20267,1.82678,52.5513,8.23975,-9.0332
23695.125,-9.48583,-2.14281,1.80523,52.8564,6.95801,-11.3525
23695.13,-9.48104,-2.08056,1.79086,52.8564,5.5542,-13.3667
23695.135,-9.51216,-2.01592,1.80283,52.5513,4.3335,-15.625
23695.14,-9.52892,-1.96085,1.83875,52.002,2.99072,-17.8833
23695.145,-9.54089,-1.92494,1.7765,51.3306,1.70898,-20.2026
23695.15,-9.56962,-1.89142,1.74058,50.6592,0.366211,-22.1558
23695.155,-9.58399,-1.86508,1.72861,50.0488,-0.732422,-23.9868
23695.16,-9.58399,-1.86987,1.6927,49.2554,-1.83105,-25.6958
23695.165,-9.60075,-1.90578,1.67355,48.7671,-2.80762,-27.2217
23695.17,-9.60554,-1.93451,1.58257,48.7671,-3.60107,-28.5034
23695.175,-9.59835,-1.93212,1.56102,49.2554,-4.21143,-29.7241
23695.18,-9.60075,-1.93451,1.51553,49.7437,-4.5166,-30.5176
23695.185,-9.56723,-1.97761,1.47243,50.6592,-5.00488,-31.1279
23695.19,-9.57681,-1.98,1.46046,51.9409,-5.12695,-31.4331
23695.195,-9.56723,-1.96085,1.41976,53.5278,-5.37109,-31.7383
23695.2,-9.54568,-1.95846,1.43173,54.9316,-5.31006,-32.0435
23695.205,-9.4978,-1.93451,1.38145,56.4575,-5.12695,-32.1045
23695.21,-9.46907,-1.89621,1.35512,57.7393,-4.94385,-32.1655
23695.215,-9.42837,-1.86508,1.3216,58.7158,-4.5166,-32.1655
23695.22,-9.38527,-1.82438,1.30484,59.5703,-4.21143,-32.1045
23695.225,-9.34696,-1.78847,1.30723,60.1807,-3.66211,-31.8604
23695.23,-9.30147,-1.73819,1.33357,60.4858,-3.11279,-31.4941
23695.235,-9.26556,-1.61369,1.26893,60.0586,-2.31934,-31.0059
23695.24,-9.24401,-1.58975,1.28329,59.5093,-1.52588,-30.3955
23695.245,-9.23683,-1.62566,1.32639,59.082,-0.976562,-29.9683
23695.25,-9.22007,-1.65918,1.28569,58.7158,-0.549316,-29.6021
23695.255,-9.19373,-1.58975,1.24498,58.2275,-0.12207,-29.2358
23695.26,-9.19852,-1.59214,1.21625,57.7393,0.244141,-28.6865
23695.265,-9.1674,-1.59454,1.20189,57.4341,0.488281,-28.0151
23695.27,-9.14106,-1.58257,1.17795,56.9458,0.854492,-27.4658
23695.275,-9.10275,-1.56581,1.10852,56.6406,1.09863,-26.6113
23695.28,-9.13388,-1.54905,1.13964,56.1523,1.58691,-25.6348
23695.285,-9.13149,-1.53708,1.15161,55.603,1.83105,-24.9023
23695.29,-9.10754,-1.52511,1.15879,55.0537,2.31934,-23.9258
23695.295,-9.11712,-1.54187,1.14682,54.5654,2.74658,-23.0713
23695.3,-9.1267,-1.55144,1.16358,54.1382,3.05176,-22.2168
23695.305,-9.13149,-1.57778,1.18274,53.772,3.2959,-21.3623
23695.31,-9.13627,-1.52032,1.2378,53.3447,3.54004,-20.6909
23695.315,-9.1267,-1.4437,1.30005,52.7344,3.90625,-19.7754
23695.32,-9.13388,-1.39582,1.2809,52.063,4.15039,-19.165
23695.325,-9.11951,-1.34075,1.23541,50.9644,4.76074,-18.4326
23695.33,-9.10275,-1.31442,1.24977,49.3774,5.00488,-17.8833
23695.335,-9.11233,-1.30723,1.2402,47.7295,5.24902,-17.334
23695.34,-9.14585,-1.30723,1.18752,46.0205,5.18799,-16.9678
23695.345,-9.15782,-1.27611,1.16598,44.0063,5.12695,-16.4795
23695.35,-9.11712,-1.21386,1.15879,41.748,5.18799,-15.9912
23695.355,-9.12909,-1.25217,1.1971,39.2456,5.31006,-15.5029
23695.36,-9.17219,-1.26174,1.21865,37.0483,5.18799,-15.0146
23695.365,-9.18416,-1.31202,1.20428,35.1562,5.12695,-14.5264
23695.37,-9.18176,-1.34315,1.20189,33.5693,4.88281,-14.0991
23695.375,-9.18416,-1.34315,1.20428,32.2266,5.00488,-13.6719
23695.38,-9.16979,-1.37188,1.22104,31.189,5.18799,-13.2446
23695.385,-9.15782,-1.37427,1.1971,30.2734,5.61523,-12.7563
23695.39,-9.20092,-1.38864,1.22583,29.4189,5.92041,-12.3291
23695.395,-9.22725,-1.40779,1.26174,28.9307,6.28662,-11.8408
23695.4,-9.23444,-1.41737,1.28329,28.4424,6.65283,-11.3525
23695.405,-9.23922,-1.38385,1.29047,28.0151,6.95801,-10.8032
23695.41,-9.22725,-1.33357,1.3623,27.4048,7.38525,-10.437
23695.415,-9.22725,-1.27132,1.41737,26.6113,7.75146,-10.1929
23695.42,-9.24401,-1.22583,1.41737,25.6958,8.30078,-10.0098
23695.425,-9.27035,-1.18034,1.4437,24.0479,8.54492,-9.82666
23695.43,-9.31823,-1.13725,1.42694,22.2778,8.66699,-9.82666
23695.435,-9.34936,-1.09654,1.38145,20.1416,8.60596,-9.64355
23695.44,-9.35654,-1.05105,1.4054,17.6392,8.54492,-9.15527
23695.445,-9.37809,-1.03669,1.39343,15.0146,8.48389,-8.78906
23695.45,-9.39006,-1.01514,1.39582,11.9629,8.05664,-8.23975
23695.455,-9.39245,-1.01993,1.45807,9.09424,7.8125,-7.69043
23695.46,-9.37569,-1.01035,1.47004,6.28662,7.44629,-7.08008
23695.465,-9.39245,-1.03669,1.4868,3.479,7.14111,-6.34766
23695.47,-9.39485,-1.075,1.52032,1.09863,6.89697,-5.61523
23695.475,-9.37569,-1.10852,1.53468,-1.28174,6.71387,-4.76074
23695.48,-9.37809,-1.12527,1.5706,-3.05176,6.65283,-3.84521
23695.485,-9.36133,-1.15879,1.59933,-4.82178,6.71387,-3.11279
23695.49,-9.35415,-1.20907,1.63763,-6.16455,6.83594,-2.13623
23695.495,-9.33978,-1.2402,1.67115,-7.32422,6.89697,-0.976562
23695.5,-9.31344,-1.22344,1.76213,-8.36182,7.20215,-0.244141
23695.505,-9.29908,-1.21386,1.79565,-9.39941,7.08008,0.732422
23695.51,-9.27753,-1.18034,1.80044,-10.2539,7.26318,1.70898
23695.515,-9.2488,-1.20189,1.82438,-11.4136,7.38525,2.62451
23695.52,-9.22486,-1.20907,1.8579,-12.6953,7.50732,3.41797
23695.525,-9.22725,-1.23062,1.83875,-13.916,7.69043,4.27246
23695.53,-9.23204,-1.22104,1.83875,-15.4419,7.50732,5.37109
23695.535,-9.23683,-1.25217,1.82438,-16.9067,7.44629,6.28662
23695.54,-9.24162,-1.2809,1.84114,-18.3105,7.20215,7.08008
23695.545,-9.2512,-1.30245,1.83635,-19.7144,7.08008,8.05664
23695.55,-9.2488,-1.34315,1.83635,-20.874,6.83594,8.91113
23695.555,-9.24641,-1.39821,1.85311,-21.9116,6.40869,9.82666
23695.56,-9.27035,-1.45567,1.84593,-22.8882,6.16455,10.6812
23695.565,-9.28711,-1.47722,1.87945,-23.6816,5.67627,11.4746
23695.57,-9.28711,-1.49877,1.92973,-24.4141,5.18799,12.2681
23695.575,-9.29429,-1.51792,1.90818,-25.0244,4.69971,12.8174
23695.58,-9.33499,-1.55623,1.86269,-25.6958,4.39453,13.6719
23695.585,-9.32781,-1.59693,1.85551,-26.3062,4.02832,14.2212
23695.59,-9.31105,-1.63285,1.80283,-27.0996,3.54004,14.7095
23695.595,-9.31823,-1.67594,1.79086,-27.71,2.99072,15.3198
23695.6,-9.31344,-1.69749,1.73101,-28.5034,2.38037,15.686
23695.605,-9.3326,-1.72861,1.71185,-29.4189,1.89209,16.3574
23695.61,-9.32542,-1.77889,1.70467,-30.2734,1.0376,16.6626
23695.615,-9.31823,-1.8148,1.68073,-31.189,0.732422,16.9678
23695.62,-9.31105,-1.83635,1.6927,-31.9214,0.366211,17.2729
23695.625,-9.3302,-1.90578,1.69031,-32.6538,-0.0610352,17.395
23695.63,-9.32542,-1.92254,1.66397,-33.1421,-0.244141,17.5171
23695.635,-9.31823,-1.97522,1.62087,-33.4473,-0.610352,17.5781
23695.64,-9.2919,-2.01352,1.68312,-33.9355,-0.671387,17.7002
23695.645,-9.29908,-2.04465,1.71425,-33.9355,-0.915527,17.6392
23695.65,-9.30147,-2.0662,1.67115,-33.8135,-0.854492,17.5171
23695.655,-9.29908,-2.12126,1.64482,-33.5083,-0.915527,17.334
