timestamp,ax,ay,az,gx,gy,gz
21959.7,9.81144,1.52989,-1.71185,3.84521,-0.244141,0.488281
21959.705,9.80665,1.54187,-1.69509,4.02832,-0.366211,0.305176
21959.71,9.82341,1.55623,-1.73819,4.02832,-0.183105,0.366211
21959.715,9.8258,1.57299,-1.71185,3.90625,-0.244141,0.244141
21959.72,9.81623,1.55863,-1.72383,3.96729,-0.183105,0.366211
21959.725,9.81862,1.54187,-1.74298,3.96729,0.0,0.305176
21959.73,9.81383,1.55863,-1.7358,3.96729,0.12207,0.244141
21959.735,9.79707,1.54665,-1.72861,3.96729,0.183105,0.183105
21959.74,9.78271,1.57538,-1.74537,4.21143,0.244141,-0.0610352
21959.745,9.80665,1.56341,-1.74777,4.21143,0.366211,-0.0610352
21959.75,9.78989,1.54905,-1.77889,4.08936,0.427246,-0.12207
21959.755,9.80426,1.56581,-1.80523,4.15039,0.366211,-0.12207
21959.76,9.80426,1.5682,-1.78129,4.08936,0.244141,-0.0610352
21959.765,9.79707,1.56102,-1.75974,4.15039,0.305176,0.0
21959.77,9.78989,1.56102,-1.80523,4.02832,0.244141,-0.0610352
21959.775,9.76834,1.56581,-1.78129,3.90625,0.12207,-0.0610352
21959.78,9.79228,1.56581,-1.75734,3.90625,0.0,0.12207
21959.785,9.77074,1.57538,-1.75734,3.78418,0.0,0.183105
21959.79,9.7851,1.56581,-1.75734,3.60107,-0.12207,0.12207
21959.795,9.80665,1.54665,-1.72383,3.479,-0.305176,0.183105
21959.8,9.79947,1.55144,-1.75256,3.41797,-0.366211,0.244141
21959.805,9.78989,1.56341,-1.70707,3.2959,-0.427246,0.488281
21959.81,9.80426,1.56102,-1.75256,3.35693,-0.549316,0.427246
21959.815,9.80186,1.58017,-1.69988,3.17383,-0.427246,0.488281
21959.82,9.79947,1.57538,-1.72143,2.99072,-0.427246,0.610352
21959.825,9.80904,1.57778,-1.69509,3.05176,-0.427246,0.488281
21959.83,9.80186,1.5706,-1.70707,3.17383,-0.305176,0.427246
21959.835,9.80904,1.54905,-1.71664,3.11279,-0.305176,0.366211
21959.84,9.79707,1.54905,-1.70467,3.23486,-0.0610352,0.305176
21959.845,9.79707,1.53708,-1.74537,3.2959,-0.12207,0.183105
21959.85,9.79228,1.55144,-1.7358,3.41797,0.183105,0.244141
21959.855,9.80426,1.5682,-1.72383,3.479,0.12207,0.183105
21959.86,9.80186,1.59933,-1.72861,3.54004,0.305176,0.12207
21959.865,9.77792,1.59454,-1.73101,3.41797,0.305176,0.366211
21959.87,9.76595,1.62087,-1.7358,3.2959,0.366211,0.366211
21959.875,9.77313,1.6089,-1.74058,2.86865,0.12207,0.427246
21959.88,9.77074,1.61609,-1.7358,2.68555,0.244141,0.488281
21959.885,9.77792,1.6089,-1.76213,2.50244,0.12207,0.488281
21959.89,9.76355,1.54905,-1.75495,2.19727,0.0610352,0.549316
