timestamp,ax,ay,az,gx,gy,gz
18750.12,9.37809,3.44286,-0.646434,2.31934,0.0610352,1.0376
18750.125,9.36612,3.44526,-0.646434,2.13623,-0.12207,0.915527
18750.13,9.36612,3.44765,-0.624887,2.0752,-0.12207,0.976562
18750.135,9.35893,3.44526,-0.627281,1.77002,-0.12207,0.976562
18750.14,9.35175,3.45723,-0.629675,1.58691,-0.305176,0.915527
18750.145,9.32063,3.48117,-0.61531,1.34277,-0.305176,1.0376
18750.15,9.30147,3.48596,-0.612916,1.0376,-0.366211,0.976562
18750.155,9.30387,3.49793,-0.610521,0.671387,-0.610352,0.976562
18750.16,9.31344,3.51229,-0.620098,0.183105,-0.671387,1.0376
18750.165,9.32063,3.50751,-0.61531,-0.305176,-0.793457,0.976562
18750.17,9.31823,3.51229,-0.600945,-0.610352,-0.915527,1.0376
18750.175,9.32063,3.53624,-0.560243,-0.732422,-0.915527,0.976562
18750.18,9.3302,3.54102,-0.562637,-1.15967,-0.915527,0.915527
18750.185,9.34217,3.55778,-0.581791,-1.58691,-0.854492,0.854492
18750.19,9.35175,3.55539,-0.591368,-1.64795,-0.854492,0.732422
18750.195,9.35175,3.553,-0.553061,-1.77002,-0.915527,0.732422
18750.2,9.3326,3.54581,-0.519542,-2.01416,-0.732422,0.610352
18750.205,9.34217,3.54342,-0.507571,-2.01416,-0.793457,0.366211
18750.21,9.35893,3.53863,-0.502782,-2.31934,-0.793457,0.183105
18750.215,9.37809,3.53384,-0.581791,-2.56348,-0.854492,-0.0610352
18750.22,9.39006,3.50032,-0.584185,-2.68555,-1.09863,-0.305176
18750.225,9.40682,3.45244,-0.588974,-2.62451,-1.0376,-0.427246
18750.23,9.414,3.45483,-0.574608,-2.56348,-0.915527,-0.610352
18750.235,9.44991,3.45004,-0.565032,-2.31934,-0.976562,-0.854492
18750.24,9.45949,3.45962,-0.596156,-2.01416,-0.793457,-1.0376
18750.245,9.47146,3.44286,-0.600945,-1.70898,-0.732422,-1.15967
18750.25,9.46188,3.42371,-0.622492,-1.2207,-0.854492,-1.46484
18750.255,9.4571,3.44047,-0.591368,-1.09863,-0.671387,-1.52588
18750.26,9.43794,3.44765,-0.584185,-0.854492,-0.610352,-1.77002
