timestamp,ax,ay,az,gx,gy,gz
18268.02,9.72285,2.28167,-0.857124,54.8096,4.45557,26.7334
18268.025,9.68933,2.34632,-0.842759,53.0396,3.2959,26.6113
18268.03,9.67497,2.39899,-0.823605,50.5371,2.44141,26.4893
18268.035,9.67257,2.42533,-0.744597,47.8516,1.15967,26.1841
18268.04,9.64624,2.47321,-0.71826,44.7998,0.183105,25.8789
18268.045,9.67257,2.49715,-0.679953,41.3818,-0.732422,25.2686
18268.05,9.68933,2.54504,-0.653617,37.9639,-1.64795,24.6582
18268.055,9.72764,2.58095,-0.632069,34.0576,-2.56348,24.231
18268.06,9.75158,2.60489,-0.624887,30.0903,-3.41797,23.8037
18268.065,9.7851,2.63362,-0.622492,25.6958,-4.21143,22.9492
18268.07,9.79947,2.64799,-0.572214,21.6064,-5.12695,22.0337
18268.075,9.84017,2.65517,-0.603339,17.334,-6.10352,21.4233
18268.08,9.90721,2.62644,-0.565032,12.8174,-7.08008,20.752
18268.085,9.9503,2.60729,-0.550666,8.72803,-8.17871,20.0195
18268.09,10.0006,2.60489,-0.514753,4.3335,-9.21631,19.3481
18268.095,10.0317,2.59292,-0.497994,0.366211,-10.437,18.6157
18268.1,10.0509,2.58574,-0.488417,-3.84521,-11.5356,18.0054
18268.105,10.0604,2.57377,-0.435745,-7.69043,-12.8174,17.0898
18268.11,10.0748,2.55222,-0.447716,-11.2915,-13.855,16.3574
18268.115,10.082,2.54982,-0.466869,-14.3433,-15.0757,15.3809
18268.12,10.0868,2.49476,-0.486023,-16.2354,-16.2964,14.3433
18268.125,10.0676,2.32956,-0.4956,-16.8457,-17.7002,13.2446
18268.13,10.0652,2.13084,-0.488417,-15.9912,-19.165,11.7188
18268.135,10.0533,2.04225,-0.500388,-15.0146,-19.4702,10.0098
18268.14,10.058,1.98479,-0.409408,-13.5498,-19.2261,8.11768
18268.145,10.0748,1.91776,-0.251391,-10.437,-18.8599,5.79834
18268.15,10.1155,2.01592,-0.0383072,-6.28662,-18.3716,3.54004
18268.155,10.2208,2.21464,0.282516,-0.671387,-17.9443,0.793457
18268.16,10.3166,2.40617,0.651223,6.10352,-17.1509,-1.34277
18268.165,10.3813,2.57856,1.02232,13.3057,-15.2588,-3.41797
18268.17,10.41,2.73178,1.37188,20.0195,-12.4512,-5.37109
18268.175,10.3453,2.76291,1.64242,26.1841,-9.39941,-6.95801
18268.18,10.2879,2.77727,1.87466,30.9448,-6.40869,-8.30078
18268.185,10.2208,2.86586,2.03747,33.4473,-3.41797,-9.82666
