timestamp,ax,ay,az,gx,gy,gz
5287.96,9.93354,1.72861,-0.636858,-11.5356,-8.91113,19.2261
5287.965,9.90242,1.76692,-0.59855,-10.6812,-8.66699,17.6392
5287.97,9.88566,1.86748,-0.56982,-9.8877,-8.72803,16.7236
5287.975,9.92397,1.91297,-0.553061,-9.39941,-8.72803,15.625
5287.98,9.92157,1.92733,-0.543484,-9.0332,-8.8501,14.4043
5287.985,9.95509,1.95367,-0.52433,-9.15527,-8.78906,13.4888
5287.99,9.97664,1.96564,-0.52433,-9.46045,-8.78906,12.5122
5287.995,9.99579,2.01352,-0.497994,-9.64355,-8.72803,11.7188
5288.0,10.0126,2.03747,-0.538695,-10.0708,-8.60596,11.0474
5288.005,10.0126,2.08296,-0.488417,-10.7422,-8.42285,10.2539
5288.01,9.97903,2.1476,-0.512359,-11.4136,-8.72803,10.6812
5288.015,10.0844,1.9824,-0.581791,-12.5732,-8.42285,9.94873
5288.02,10.0317,1.92733,-0.545878,-13.1836,-7.93457,8.54492
5288.025,10.003,2.03268,-0.519542,-13.916,-7.38525,7.87354
5288.03,9.97903,2.06859,-0.52433,-14.8926,-7.26318,8.11768
5288.035,9.9934,2.04465,-0.555455,-15.8081,-6.83594,7.38525
5288.04,9.95988,2.04225,-0.526724,-16.9067,-6.34766,7.26318
5288.045,9.9527,2.01592,-0.529119,-18.1274,-5.85938,7.01904
5288.05,9.97185,1.99198,-0.555455,-19.2261,-5.5542,6.95801
5288.055,9.97424,1.98,-0.545878,-20.2637,-5.12695,6.65283
5288.06,9.97903,1.96803,-0.54109,-21.2402,-4.63867,6.65283
5288.065,9.9503,1.92733,-0.557849,-21.9727,-4.45557,6.40869
5288.07,9.94551,1.88903,-0.56982,-22.4609,-4.08936,6.22559
5288.075,9.94312,1.86029,-0.56982,-22.8882,-3.96729,5.98145
5288.08,9.93594,1.82678,-0.562637,-23.0713,-3.72314,5.92041
5288.085,9.92636,1.79805,-0.560243,-23.0713,-3.66211,5.67627
5288.09,9.91199,1.76692,-0.572214,-23.1323,-3.66211,5.61523
5288.095,9.93115,1.75256,-0.593762,-22.7661,-3.41797,5.5542
5288.1,9.94073,1.75256,-0.579397,-22.2778,-3.41797,5.49316
5288.105,9.93833,1.71904,-0.579397,-21.8506,-3.41797,5.37109
5288.11,9.93354,1.71425,-0.560243,-21.1792,-3.41797,5.06592
5288.115,9.94312,1.68073,-0.59855,-20.5078,-3.23486,5.06592
5288.12,9.9527,1.67594,-0.588974,-19.7144,-3.23486,4.94385
5288.125,9.94551,1.68073,-0.588974,-19.043,-3.11279,4.82178
5288.13,9.91199,1.6927,-0.620098,-18.1885,-3.17383,4.76074
5288.135,9.9096,1.65679,-0.64404,-17.334,-3.05176,4.57764
5288.14,9.90002,1.66158,-0.641646,-16.6016,-2.86865,4.5166
5288.145,9.91439,1.68791,-0.636858,-15.8691,-2.80762,4.5166
5288.15,9.93354,1.68791,-0.646434,-15.3809,-2.62451,4.45557
5288.155,9.92875,1.71664,-0.622492,-14.8315,-2.38037,4.39453
5288.16,9.93833,1.73101,-0.634463,-14.4653,-2.38037,4.5166
5288.165,9.9503,1.75016,-0.629675,-14.2822,-2.0752,4.5166
5288.17,9.94312,1.77171,-0.622492,-14.3433,-1.89209,4.57764
5288.175,9.93354,1.82199,-0.624887,-14.4043,-1.64795,4.57764
5288.18,9.92157,1.83635,-0.646434,-14.5264,-1.52588,4.69971
5288.185,9.95988,1.84593,-0.665588,-14.8926,-1.46484,4.63867
5288.19,9.96706,1.86508,-0.6608,-15.2588,-1.2207,4.82178
5288.195,10.003,1.86508,-0.670376,-15.9302,-1.0376,4.76074
5288.2,9.97185,1.87466,-0.641646,-16.4795,-0.915527,4.94385
5288.205,9.95748,1.87945,-0.656011,-17.0898,-0.732422,4.69971
5288.21,9.96227,1.89381,-0.656011,-17.7612,-0.671387,4.69971
5288.215,9.94551,1.88424,-0.651223,-18.4326,-0.610352,4.76074
5288.22,9.93354,1.91536,-0.667982,-19.165,-0.549316,4.69971
5288.225,9.89763,1.8986,-0.687136,-19.8975,-0.549316,4.5166
5288.23,9.88805,1.87705,-0.663194,-20.5078,-0.488281,4.39453
5288.235,9.89284,1.86269,-0.691924,-21.1182,-0.427246,4.08936
5288.24,9.9096,1.84114,-0.701501,-21.5454,-0.427246,3.96729
5288.245,9.93594,1.8148,-0.713472,-21.7896,-0.244141,3.66211
5288.25,9.94073,1.79326,-0.687136,-22.1558,-0.12207,3.54004
5288.255,9.93354,1.78368,-0.754174,-22.4609,0.0,3.2959
5288.26,9.97664,1.7765,-0.746991,-22.3389,-0.183105,2.92969
5288.265,9.97903,1.73819,-0.751779,-22.4609,-0.12207,2.44141
5288.27,9.97424,1.73101,-0.739808,-22.3389,-0.12207,2.19727
5288.275,9.97903,1.72622,-0.746991,-22.2778,-0.0610352,1.77002
5288.28,9.97424,1.69749,-0.737414,-22.2168,-0.0610352,1.40381
5288.285,9.99819,1.70228,-0.715866,-21.9727,0.0,1.28174
5288.29,9.991,1.69509,-0.73502,-21.6675,-0.0610352,1.09863
5288.295,9.98622,1.70467,-0.725443,-21.5454,0.0,0.854492
5288.3,9.991,1.68791,-0.699107,-21.4233,-0.12207,0.793457
5288.305,9.98143,1.70707,-0.699107,-21.4233,-0.0610352,0.549316
5288.31,9.97185,1.72143,-0.703895,-21.2402,-0.12207,0.488281
5288.315,9.94791,1.69988,-0.751779,-21.1792,-0.183105,0.305176
5288.32,9.95748,1.69988,-0.699107,-21.0571,-0.183105,0.244141
5288.325,9.93594,1.69031,-0.737414,-20.9961,-0.183105,0.12207
5288.33,9.94312,1.69749,-0.773327,-20.874,-0.183105,-0.0610352
5288.335,9.91199,1.68073,-0.778116,-20.6909,-0.12207,-0.305176
5288.34,9.88326,1.66158,-0.770933,-20.752,0.0,-0.366211
5288.345,9.86172,1.65439,-0.754174,-20.5688,-0.0610352,-0.427246
5288.35,9.86172,1.63763,-0.749385,-20.3247,-0.244141,-0.610352
5288.355,9.84496,1.62806,-0.761356,-19.9585,-0.183105,-0.854492
5288.36,9.86651,1.60412,-0.749385,-19.6533,-0.183105,-1.0376
5288.365,9.85932,1.59933,-0.739808,-19.2871,-0.305176,-1.2207
5288.37,9.83777,1.60412,-0.746991,-18.9209,-0.305176,-1.28174
5288.375,9.84256,1.58736,-0.744597,-18.5547,-0.366211,-1.58691
5288.38,9.84975,1.58496,-0.751779,-17.7612,-0.244141,-1.70898
5288.385,9.84735,1.58017,-0.73502,-17.334,-0.427246,-2.01416
5288.39,9.83299,1.5706,-0.725443,-16.7236,-0.488281,-2.19727
5288.395,9.8282,1.53708,-0.739808,-15.8691,-0.549316,-2.44141
5288.4,9.83777,1.53468,-0.746991,-15.2588,-0.732422,-2.62451
5288.405,9.85693,1.52271,-0.744597,-14.5264,-0.610352,-2.74658
5288.41,9.83777,1.52511,-0.730232,-13.855,-0.671387,-2.68555
5288.415,9.85453,1.54426,-0.758962,-13.3057,-0.610352,-2.92969
5288.42,9.85214,1.55623,-0.744597,-12.6953,-0.671387,-2.80762
5288.425,9.88566,1.56341,-0.749385,-12.146,-0.610352,-2.86865
5288.43,9.87608,1.58496,-0.744597,-12.207,-0.427246,-2.68555
5288.435,9.89284,1.62806,-0.727837,-12.085,-0.244141,-2.62451
5288.44,9.85693,1.62806,-0.68953,-12.7563,-0.12207,-2.31934
5288.445,9.87848,1.64242,-0.711078,-13.4277,0.0610352,-2.44141
5288.45,9.88805,1.61369,-0.672771,-13.855,0.12207,-2.13623
5288.455,9.82341,1.58736,-0.687136,-14.6484,0.244141,-1.83105
5288.46,9.86411,1.60651,-0.682347,-15.0146,0.366211,-1.77002
5288.465,9.8689,1.54905,-0.701501,-15.2588,0.427246,-1.15967
5288.47,9.80186,1.54905,-0.670376,-15.8691,0.549316,-1.09863
5288.475,9.8282,1.50595,-0.670376,-15.9912,0.549316,-0.732422
5288.48,9.83299,1.50595,-0.64404,-16.3574,0.427246,-0.671387
5288.485,9.87608,1.49638,-0.665588,-16.3574,0.488281,-0.427246
5288.49,9.84735,1.47483,-0.665588,-16.3574,0.366211,-0.427246
5288.495,9.88087,1.43652,-0.646434,-16.2354,0.305176,0.183105
5288.5,9.89763,1.43413,-0.636858,-16.0522,0.12207,0.0
5288.505,9.92875,1.42216,-0.651223,-15.8691,0.0610352,0.305176
5288.51,9.94312,1.43892,-0.653617,-15.8081,0.12207,0.183105
