timestamp,ax,ay,az,gx,gy,gz
7088.72,10.1945,0.138864,0.691924,29.6021,32.0435,-12.6343
7088.725,10.3477,-0.0742203,0.691924,26.9775,31.0059,-13.0615
7088.73,10.4172,0.0502782,0.756568,24.5361,30.2124,-13.1226
7088.735,10.3022,0.407014,0.725443,20.874,28.8696,-13.1226
7088.74,10.0916,0.914585,0.574608,15.1978,27.0996,-13.0615
7088.745,9.92397,1.52271,0.531513,8.72803,25.8789,-13.7329
7088.75,9.7444,2.15239,0.459687,1.95312,25.2686,-14.7705
7088.755,9.59596,2.58813,0.28491,-5.00488,24.7192,-16.6626
7088.76,9.54089,2.78206,0.138864,-12.207,24.292,-18.2495
7088.765,9.54329,2.75812,0.011971,-18.6768,24.4141,-19.5312
7088.77,9.60314,2.60729,-0.114922,-24.1699,24.6582,-20.5078
7088.775,9.72285,2.38702,-0.21069,-28.6255,25.0854,-20.813
7088.78,9.78271,2.17633,-0.289698,-31.25,25.5127,-20.752
7088.785,9.84496,1.96325,-0.3304,-32.2266,25.9399,-20.5078
7088.79,9.86651,1.74298,-0.294487,-31.311,26.3672,-19.7144
7088.795,9.9096,1.55384,-0.222661,-28.2593,26.6113,-18.9819
7088.8,9.84256,1.39821,-0.19393,-24.4141,26.3672,-18.2495
7088.805,9.77792,1.26414,-0.122104,-19.7144,26.123,-17.5171
7088.81,9.70849,1.1157,-0.0191536,-14.6484,25.5127,-16.9067
7088.815,9.61751,1.01754,0.0502782,-9.39941,24.9023,-15.8691
7088.82,9.54808,1.05824,0.107739,-4.21143,24.0479,-14.8926
7088.825,9.46667,1.15401,0.167594,0.854492,22.8271,-13.5498
7088.83,9.40442,1.30005,0.260968,5.49316,21.2402,-12.3291
7088.835,9.36851,1.48441,0.440533,9.33838,19.4702,-10.9863
7088.84,9.27753,1.70946,0.608127,12.207,17.2119,-9.8877
7088.845,9.2081,1.92015,0.778116,14.0381,14.9536,-8.48389
7088.85,9.14824,2.16436,0.955286,14.4653,12.7563,-7.26318
7088.855,9.10036,2.42054,1.12527,13.855,10.437,-5.98145
7088.86,9.10036,2.62644,1.23301,11.9629,7.75146,-4.82178
7088.865,9.11712,2.8491,1.33118,8.91113,5.37109,-3.84521
7088.87,9.19134,2.90896,1.32878,4.82178,3.05176,-2.99072
7088.875,9.29669,2.81798,1.20907,-0.366211,0.732422,-1.89209
7088.88,9.41879,2.63362,1.07739,-5.61523,-1.46484,-0.671387
7088.885,9.54089,2.44687,1.00317,-10.437,-3.2959,0.732422
7088.89,9.63427,2.26731,0.909797,-14.3433,-5.12695,1.64795
7088.895,9.75637,2.20745,0.751779,-17.2729,-6.5918,3.23486
7088.9,9.79228,2.13563,0.617704,-19.043,-7.93457,4.15039
7088.905,9.79228,2.0638,0.497994,-20.1416,-9.0332,4.88281
7088.91,9.7875,1.98958,0.392649,-20.4468,-9.94873,5.31006
7088.915,9.75877,1.88663,0.299275,-20.0806,-10.6812,5.5542
7088.92,9.7875,1.75256,0.225055,-19.5312,-11.2915,5.7373
7088.925,9.7875,1.63045,0.117316,-18.6157,-11.5356,5.98145
7088.93,9.80904,1.54187,0.100556,-17.395,-11.5967,6.34766
7088.935,9.81144,1.53947,0.0861913,-15.8691,-11.5356,6.65283
