timestamp,ax,ay,az,gx,gy,gz
11339.56,10.2089,-0.201113,3.45723,-6.16455,-32.4707,-22.644
11339.565,10.0963,0.241814,2.84671,-2.68555,-35.3394,-24.7192
11339.57,10.2879,0.634463,2.29843,0.793457,-35.8276,-26.7944
11339.575,10.2376,0.617704,1.90578,1.89209,-36.9263,-28.1372
11339.58,10.0796,0.553061,1.52271,1.0376,-39.4287,-28.9917
11339.585,10.0461,0.500388,1.30005,2.38037,-41.0767,-29.4189
11339.59,10.3932,0.452504,1.50356,6.34766,-40.1611,-29.7852
11339.595,10.4579,-0.244209,1.53708,6.83594,-41.0767,-26.7944
11339.6,10.0963,-0.114922,2.18112,13.2446,-39.0625,-27.832
11339.605,9.55526,0.337582,3.3854,20.2026,-36.3159,-31.3721
11339.61,9.32063,0.253785,3.89058,20.0195,-38.147,-33.9966
11339.615,9.21768,-0.0670376,3.18908,15.8081,-40.0391,-34.0576
11339.62,9.33978,-0.203507,2.39181,13.3057,-40.2222,-32.2876
11339.625,9.76355,-0.158017,2.18351,12.3291,-38.8184,-29.6021
11339.63,9.93115,-0.0502782,2.21942,13.3057,-37.5977,-24.9023
11339.635,9.56723,0.25618,2.49715,16.8457,-33.6914,-19.8364
11339.64,9.27035,0.268151,2.89938,20.752,-31.7383,-15.8081
11339.645,8.7532,0.189142,2.8084,23.4375,-30.3955,-10.6812
11339.65,7.78116,-0.136469,2.31759,27.9541,-31.8604,-5.31006
11339.655,7.27119,-0.464475,1.95127,34.9731,-31.8604,0.610352
11339.66,7.18979,-0.828394,1.79565,42.9688,-30.8228,6.65283
11339.665,7.16345,-1.14922,1.41258,49.4995,-30.4565,13.5498
11339.67,7.13951,-1.45328,0.821211,55.603,-29.6631,20.5078
11339.675,7.36456,-1.33836,0.454898,60.791,-28.0762,27.0996
11339.68,7.64947,-0.852336,0.299275,65.918,-25.6348,32.8369
11339.685,7.94157,-0.536301,0.186748,68.0542,-23.6206,37.9028
